quadkey,latitude,longitude,rwi,error,geometry,index_right,ADM2_PCODE
3311303222022,34.3887788,-4.2077637,-0.514,0.404,POINT (-4.2077637 34.3887788),17.0,MA004009
3313001202320,31.081165,-9.744873,-0.263,0.401,POINT (-9.744873 31.081165),40.0,MA006003
3313001022221,31.3817783,-9.810791,0.133,0.64,POINT (-9.810791 31.3817783),40.0,MA006003
3311213231111,34.587997,-6.3391113,-0.199,0.48,POINT (-6.3391113 34.587997),3.0,MA008004
3313010222022,30.8362142,-8.4265137,-0.146,0.404,POINT (-8.4265137 30.8362142),4.0,MA009004
3311312032031,34.9850026,-2.3840332,-0.119,0.465,POINT (-2.3840332 34.9850026),61.0,MA007002
3313010120121,31.6066092,-7.6135254,-0.461,0.483,POINT (-7.6135254 31.6066092),33.0,MA006001
3313020110331,29.4108899,-10.0305176,-0.509,0.473,POINT (-10.0305176 29.4108899),5.0,MA005004
3313012032211,30.2116078,-8.0090332,0.003,0.438,POINT (-8.0090332 30.2116078),4.0,MA009004
3311231010111,34.2980679,-6.5148926,0.585,0.547,POINT (-6.5148926 34.2980679),3.0,MA008004
3311320131030,33.9706975,-4.3395996,-0.386,0.393,POINT (-4.3395996 33.9706975),17.0,MA004009
3311302031301,35.0929448,-4.9768066,-0.116,0.505,POINT (-4.9768066 35.0929448),12.0,MA010002
3311312332202,34.3525062,-1.7468262,-0.466,0.417,POINT (-1.7468262 34.3525062),48.0,MA007006
3311233300303,32.4448845,-6.2072754,0.617,0.561,POINT (-6.2072754 32.4448845),43.0,MA001002
3311233103303,32.8888127,-6.0314941,-0.609,0.423,POINT (-6.0314941 32.8888127),49.0,MA001004
3311233301130,32.500496,-6.0095215,-0.339,0.445,POINT (-6.0095215 32.500496),43.0,MA001002
3313010031012,31.6253207,-7.8552246,-0.019,0.52,POINT (-7.8552246 31.6253207),38.0,MA006004
3311322030231,32.7225981,-5.1965332,-0.364,0.472,POINT (-5.1965332 32.7225981),52.0,MA003003
3311233330122,32.1849106,-5.8776855,0.153,0.468,POINT (-5.8776855 32.1849106),43.0,MA001002
3313101200123,31.2879394,-4.0979004,-0.417,0.474,POINT (-4.0979004 31.2879394),7.0,MA003002
3311223311320,32.4263397,-8.5144043,0.263,0.484,POINT (-8.5144043 32.4263397),30.0,MA002008
3311231121221,33.8977765,-6.1193848,-0.086,0.477,POINT (-6.1193848 33.8977765),0.0,MA008005
3311233030120,32.7965096,-6.5808105,0.246,0.484,POINT (-6.5808105 32.7965096),26.0,MA001005
3311233200133,32.4819627,-6.8664551,-0.14,0.489,POINT (-6.8664551 32.4819627),46.0,MA001003
3313003232100,29.6785076,-9.3933105,0.866,0.431,POINT (-9.3933105 29.6785076),28.0,MA009006
3311231121232,33.8795365,-6.0974121,0.329,0.492,POINT (-6.0974121 33.8795365),0.0,MA008005
3311223323032,32.0360196,-8.9099121,-0.287,0.471,POINT (-8.9099121 32.0360196),8.0,MA006006
3313001203101,31.194007,-9.5471191,-0.125,0.47,POINT (-9.5471191 31.194007),40.0,MA006003
3311233001303,33.0362977,-6.7346191,-0.216,0.434,POINT (-6.7346191 33.0362977),26.0,MA001005
3311302102210,35.2366457,-4.8669434,-0.268,0.44,POINT (-4.8669434 35.2366457),12.0,MA010002
3313001003121,31.7561958,-9.5471191,0.298,0.553,POINT (-9.5471191 31.7561958),40.0,MA006003
3313012130020,30.4013061,-7.3718262,-0.55,0.418,POINT (-7.3718262 30.4013061),37.0,MA003001
3311232022123,32.6301225,-8.3166504,-0.39,0.467,POINT (-8.3166504 32.6301225),30.0,MA002008
3313003033121,30.2495768,-9.1955566,-0.427,0.444,POINT (-9.1955566 30.2495768),15.0,MA009002
3311303123030,34.9850026,-3.2849121,-0.18,0.475,POINT (-3.2849121 34.9850026),62.0,MA007003
3311320223102,33.2570629,-5.3503418,-0.335,0.416,POINT (-5.3503418 33.2570629),56.0,MA004004
3311320203022,33.5139189,-5.4382324,-0.753,0.456,POINT (-5.4382324 33.5139189),56.0,MA004004
3311321101210,34.2254285,-3.2849121,-0.336,0.484,POINT (-3.2849121 34.2254285),47.0,MA007005
3311321023122,33.8065375,-3.9440918,-0.69,0.401,POINT (-3.9440918 33.8065375),47.0,MA007005
3311232211202,32.4448845,-7.8991699,-0.446,0.541,POINT (-7.8991699 32.4448845),1.0,MA006008
3311320022222,33.7334762,-5.6140137,-0.406,0.492,POINT (-5.6140137 33.7334762),50.0,MA004003
3311321021010,34.0071346,-3.9880371,-0.203,0.461,POINT (-3.9880371 34.0071346),17.0,MA004009
3313012230300,29.7548395,-7.9870605,0.091,0.57,POINT (-7.9870605 29.7548395),6.0,MA009005
3311233312103,32.3706824,-5.8557129,-0.269,0.415,POINT (-5.8557129 32.3706824),43.0,MA001002
3311223233022,32.0360196,-9.3054199,-0.506,0.418,POINT (-9.3054199 32.0360196),8.0,MA006006
3311322011231,33.0178755,-5.020752,-0.29,0.388,POINT (-5.020752 33.0178755),52.0,MA003003
3311232133221,32.5745912,-7.1740723,-0.208,0.416,POINT (-7.1740723 32.5745912),14.0,MA002009
3311302200011,34.876918,-5.5480957,0.384,0.478,POINT (-5.5480957 34.876918),18.0,MA010007
3311232101331,33.0178755,-7.3937988,-0.629,0.468,POINT (-7.3937988 33.0178755),14.0,MA002009
3313001213311,31.1187939,-9.1516113,-0.315,0.415,POINT (-9.1516113 31.1187939),29.0,MA006002
3313021011113,29.506549,-9.1516113,0.362,0.527,POINT (-9.1516113 29.506549),28.0,MA009006
3311320132203,33.7700147,-4.5373535,-0.514,0.409,POINT (-4.5373535 33.7700147),53.0,MA004007
3311230230000,33.4222718,-8.0749512,0.116,0.592,POINT (-8.0749512 33.4222718),67.0,MA002002
3311303003221,35.2007443,-4.0100098,-0.353,0.516,POINT (-4.0100098 35.2007443),20.0,MA010001
3313100131131,31.6066092,-4.2297363,-0.058,0.446,POINT (-4.2297363 31.6066092),7.0,MA003002
3311302332110,34.4431582,-4.4274902,-0.216,0.437,POINT (-4.4274902 34.4431582),17.0,MA004009
3311232132313,32.5931055,-7.2180176,-0.32,0.431,POINT (-7.2180176 32.5931055),14.0,MA002009
3311303201111,34.876918,-3.8781738,-0.705,0.46,POINT (-3.8781738 34.876918),20.0,MA010001
3311321120100,34.0071346,-3.416748,-0.512,0.414,POINT (-3.416748 34.0071346),47.0,MA007005
3311232022020,32.6486253,-8.4265137,1.007,0.551,POINT (-8.4265137 32.6486253),30.0,MA002008
3311320123320,33.7517474,-4.6472168,-0.581,0.398,POINT (-4.6472168 33.7517474),53.0,MA004007
3311233102012,32.962586,-6.2731934,-0.839,0.392,POINT (-6.2731934 32.962586),26.0,MA001005
3311232320200,32.1663125,-7.7233887,-0.627,0.539,POINT (-7.7233887 32.1663125),51.0,MA006005
3313023010133,28.236649,-9.3273926,-0.278,0.388,POINT (-9.3273926 28.236649),44.0,MA005001
3311231331210,33.3488843,-5.7458496,-0.097,0.388,POINT (-5.7458496 33.3488843),49.0,MA001004
3313003233300,29.6021178,-9.2175293,-0.536,0.387,POINT (-9.2175293 29.6021178),28.0,MA009006
3311302222323,34.3162179,-5.5041504,-0.364,0.538,POINT (-5.5041504 34.3162179),23.0,MA008006
3311302213331,34.6241673,-4.9328613,0.251,0.524,POINT (-4.9328613 34.6241673),63.0,MA004008
3311223322213,31.9987589,-9.0637207,-0.897,0.433,POINT (-9.0637207 31.9987589),8.0,MA006006
3311322212211,32.3149908,-5.1965332,-0.653,0.433,POINT (-5.1965332 32.3149908),52.0,MA003003
3311320221210,33.3488843,-5.3942871,-0.716,0.414,POINT (-5.3942871 33.3488843),56.0,MA004004
3311223033330,32.5745912,-9.173584,-0.078,0.397,POINT (-9.173584 32.5745912),8.0,MA006006
3311320132331,33.7517474,-4.4055176,-0.408,0.464,POINT (-4.4055176 33.7517474),53.0,MA004007
3311303220123,34.5337119,-4.0979004,-0.662,0.401,POINT (-4.0979004 34.5337119),17.0,MA004009
3313011000033,31.8868861,-6.9543457,-0.259,0.437,POINT (-6.9543457 31.8868861),42.0,MA001001
3311231302130,33.5322367,-6.1853027,-0.06,0.421,POINT (-6.1853027 33.5322367),0.0,MA008005
3311223111320,33.0178755,-8.5144043,-0.3,0.487,POINT (-8.5144043 33.0178755),67.0,MA002002
3311232020121,32.7965096,-8.3166504,-0.341,0.463,POINT (-8.3166504 32.7965096),30.0,MA002008
3313001031130,31.6066092,-9.173584,-0.312,0.45,POINT (-9.173584 31.6066092),40.0,MA006003
3311231022033,33.8065375,-6.9543457,0.148,0.518,POINT (-6.9543457 33.8065375),13.0,MA008001
3313001030311,31.569175,-9.3273926,-0.294,0.446,POINT (-9.3273926 31.569175),40.0,MA006003
3311302320331,34.4793915,-4.7570801,-0.223,0.461,POINT (-4.7570801 34.4793915),63.0,MA004008
3311233310100,32.5375513,-5.8776855,-0.657,0.388,POINT (-5.8776855 32.5375513),43.0,MA001002
3313011310101,31.344254,-5.8557129,-0.308,0.432,POINT (-5.8557129 31.344254),55.0,MA003004
3313011213310,31.1187939,-6.361084,-0.126,0.469,POINT (-6.361084 31.1187939),37.0,MA003001
3311320310013,33.6969222,-4.4934082,-0.174,0.447,POINT (-4.4934082 33.6969222),53.0,MA004007
3311231230130,33.3855858,-6.5368652,-0.452,0.444,POINT (-6.5368652 33.3855858),0.0,MA008005
3311302222300,34.3706444,-5.526123,-0.403,0.451,POINT (-5.526123 34.3706444),63.0,MA004008
3313003102031,30.5528,-9.0637207,-0.618,0.448,POINT (-9.0637207 30.5528),4.0,MA009004
3311213312102,34.7145242,-5.8776855,0.346,0.425,POINT (-5.8776855 34.7145242),3.0,MA008004
3311303221230,34.4793915,-3.9880371,-0.948,0.412,POINT (-3.9880371 34.4793915),17.0,MA004009
3313003100323,30.6095493,-9.0197754,-0.341,0.421,POINT (-9.0197754 30.6095493),4.0,MA009004
3311320221033,33.367237,-5.3723145,-0.396,0.517,POINT (-5.3723145 33.367237),56.0,MA004004
3313001303313,31.0999813,-8.8000488,-0.297,0.452,POINT (-8.8000488 31.0999813),29.0,MA006002
3311321022321,33.7517474,-4.0979004,-0.68,0.399,POINT (-4.0979004 33.7517474),17.0,MA004009
3311230303031,33.5322367,-7.4816895,0.927,0.545,POINT (-7.4816895 33.5322367),24.0,MA002003
3311322202132,32.3335585,-5.4821777,-0.759,0.395,POINT (-5.4821777 32.3335585),52.0,MA003003
3313021100300,29.4491644,-9.041748,-0.143,0.401,POINT (-9.041748 29.4491644),28.0,MA009006
3311233032231,32.5745912,-6.6027832,0.119,0.459,POINT (-6.6027832 32.5745912),46.0,MA001003
3311312321130,34.5518109,-1.7907715,-0.548,0.4,POINT (-1.7907715 34.5518109),48.0,MA007006
3311312231202,34.4975022,-2.2741699,-0.724,0.394,POINT (-2.2741699 34.4975022),25.0,MA007001
3313011100032,31.8868861,-6.2731934,-0.341,0.387,POINT (-6.2731934 31.8868861),42.0,MA001001
3313010221110,31.0435212,-8.1188965,-0.508,0.409,POINT (-8.1188965 31.0435212),33.0,MA006001
3313001211002,31.3254862,-9.3054199,-0.27,0.45,POINT (-9.3054199 31.3254862),40.0,MA006003
3311223321020,32.2035049,-8.9538574,-0.31,0.391,POINT (-8.9538574 32.2035049),8.0,MA006006
3313011130033,31.587894,-5.8996582,-0.505,0.429,POINT (-5.8996582 31.587894),55.0,MA003004
3311321011112,34.2799139,-3.548584,-0.487,0.429,POINT (-3.548584 34.2799139),47.0,MA007005
3311321120201,33.9342448,-3.482666,-0.57,0.43,POINT (-3.482666 33.9342448),47.0,MA007005
3311312230301,34.515609,-2.3400879,-0.636,0.445,POINT (-2.3400879 34.515609),54.0,MA007008
3311303110313,35.3621756,-2.9992676,0.243,0.536,POINT (-2.9992676 35.3621756),11.0,MA007007
3311302022013,35.0030029,-5.5480957,-0.08,0.477,POINT (-5.5480957 35.0030029),18.0,MA010007
3313011003213,31.7001291,-6.7785645,-0.529,0.414,POINT (-6.7785645 31.7001291),42.0,MA001001
3311233131323,32.7041107,-5.6799316,-0.161,0.387,POINT (-5.6799316 32.7041107),49.0,MA001004
3313013112331,30.4770825,-5.8117676,-0.146,0.405,POINT (-5.8117676 30.4770825),58.0,MA003005
3311312201033,34.8228222,-2.5598145,-0.202,0.411,POINT (-2.5598145 34.8228222),61.0,MA007002
3313003013033,30.5338761,-9.239502,-0.449,0.436,POINT (-9.239502 30.5338761),4.0,MA009004
3311232320022,32.1849106,-7.7233887,-0.427,0.466,POINT (-7.7233887 32.1849106),51.0,MA006005
3311233232113,32.0732651,-6.5148926,-0.218,0.457,POINT (-6.5148926 32.0732651),42.0,MA001001
3313010130231,31.5317257,-7.3059082,-0.169,0.391,POINT (-7.3059082 31.5317257),33.0,MA006001
3311302020010,35.164827,-5.5700684,-0.422,0.475,POINT (-5.5700684 35.164827),35.0,MA010004
3311232033100,32.6856194,-7.8112793,-0.367,0.45,POINT (-7.8112793 32.6856194),14.0,MA002009
3313012232213,29.5830112,-8.0090332,0.065,0.453,POINT (-8.0090332 29.5830112),6.0,MA009005
3311303013220,35.2007443,-3.6804199,-0.209,0.441,POINT (-3.6804199 35.2007443),62.0,MA007003
3311213320110,34.587997,-6.1853027,-0.051,0.511,POINT (-6.1853027 34.587997),3.0,MA008004
3311302003212,35.218697,-5.3942871,-0.372,0.44,POINT (-5.3942871 35.218697),12.0,MA010002
3313003101232,30.6095493,-8.9099121,-0.58,0.448,POINT (-8.9099121 30.6095493),4.0,MA009004
3311320310000,33.7152012,-4.5593262,-0.613,0.446,POINT (-4.5593262 33.7152012),53.0,MA004007
3311233020130,32.7965096,-6.8884277,-0.184,0.644,POINT (-6.8884277 32.7965096),26.0,MA001005
3313011120103,31.6253207,-6.2072754,-0.389,0.386,POINT (-6.2072754 31.6253207),55.0,MA003004
3311232330331,32.1291049,-7.2180176,-0.195,0.485,POINT (-7.2180176 32.1291049),51.0,MA006005
3313003010022,30.6851635,-9.4812012,0.062,0.512,POINT (-9.4812012 30.6851635),32.0,MA009001
3313020111331,29.4108899,-9.8547363,-0.889,0.402,POINT (-9.8547363 29.4108899),5.0,MA005004
3311321000201,34.2254285,-4.185791,0.372,0.449,POINT (-4.185791 34.2254285),17.0,MA004009
3313003222323,29.5447873,-9.7229004,-0.369,0.473,POINT (-9.7229004 29.5447873),28.0,MA009006
3311323211003,32.5190256,-3.6584473,-0.53,0.407,POINT (-3.6584473 32.5190256),22.0,MA007004
3311321200321,33.6054691,-4.0979004,-0.369,0.384,POINT (-4.0979004 33.6054691),45.0,MA004005
3311230311332,33.5871669,-7.064209,0.24,0.507,POINT (-7.064209 33.5871669),21.0,MA002007
3313003230132,29.7739134,-9.3493652,-0.442,0.415,POINT (-9.3493652 29.7739134),28.0,MA009006
3313003113110,30.5906366,-8.470459,-0.228,0.5,POINT (-8.470459 30.5906366),4.0,MA009004
3311233010220,33.0178755,-6.6687012,-0.477,0.416,POINT (-6.6687012 33.0178755),26.0,MA001005
3313010212303,31.0999813,-7.9650879,-0.361,0.42,POINT (-7.9650879 31.0999813),33.0,MA006001
3311303120021,35.1288938,-3.482666,0.056,0.489,POINT (-3.482666 35.1288938),62.0,MA007003
3313001211330,31.2315912,-9.173584,-0.067,0.419,POINT (-9.173584 31.2315912),29.0,MA006002
3311213311301,34.8047824,-5.6799316,-0.791,0.546,POINT (-5.6799316 34.8047824),18.0,MA010007
3311233110300,33.054716,-5.8776855,-0.234,0.39,POINT (-5.8776855 33.054716),49.0,MA001004
3311322301300,32.4634255,-4.6472168,-0.354,0.385,POINT (-4.6472168 32.4634255),52.0,MA003003
3311302332220,34.334364,-4.5593262,0.047,0.448,POINT (-4.5593262 34.334364),63.0,MA004008
3311231130001,34.0071346,-5.9436035,-0.513,0.471,POINT (-5.9436035 34.0071346),0.0,MA008005
3311211331100,35.7375947,-5.7019043,-0.336,0.521,POINT (-5.7019043 35.7375947),19.0,MA010003
3311232122033,32.6301225,-7.6574707,0.253,0.481,POINT (-7.6574707 32.6301225),14.0,MA002009
3311302201333,34.7506393,-5.2844238,-0.358,0.546,POINT (-5.2844238 34.7506393),18.0,MA010007
3311230221220,33.3121674,-8.2507324,-0.024,0.471,POINT (-8.2507324 33.3121674),67.0,MA002002
3311231330020,33.3855858,-5.9655762,0.058,0.432,POINT (-5.9655762 33.3855858),0.0,MA008005
3313001312221,31.081165,-8.7561035,-0.828,0.433,POINT (-8.7561035 31.081165),29.0,MA006002
3311232200032,32.4819627,-8.3825684,0.373,0.507,POINT (-8.3825684 32.4819627),30.0,MA002008
3311233011221,33.0178755,-6.4709473,-0.094,0.416,POINT (-6.4709473 33.0178755),26.0,MA001005
3313010032003,31.4755236,-8.0529785,-0.086,0.528,POINT (-8.0529785 31.4755236),33.0,MA006001
3311232130200,32.7595615,-7.3718262,-0.566,0.408,POINT (-7.3718262 32.7595615),14.0,MA002009
3311233000203,33.0362977,-6.998291,-0.375,0.461,POINT (-6.998291 33.0362977),14.0,MA002009
3311231302013,33.5505507,-6.2512207,-0.153,0.475,POINT (-6.2512207 33.5505507),0.0,MA008005
3311320010231,34.1890853,-5.1965332,-0.017,0.459,POINT (-5.1965332 34.1890853),10.0,MA004006
3313100002233,31.6627324,-5.5480957,-0.069,0.524,POINT (-5.5480957 31.6627324),55.0,MA003004
3311233123001,32.6856194,-6.1193848,-0.621,0.422,POINT (-6.1193848 32.6856194),43.0,MA001002
3311213121102,35.1468624,-6.0534668,-0.457,0.468,POINT (-6.0534668 35.1468624),35.0,MA010004
3311330020010,34.0071346,-2.7575684,-0.535,0.41,POINT (-2.7575684 34.0071346),54.0,MA007008
3311232212233,32.259265,-8.0090332,-0.206,0.45,POINT (-8.0090332 32.259265),1.0,MA006008
3313001122022,31.4380367,-9.1296387,-0.597,0.445,POINT (-9.1296387 31.4380367),29.0,MA006002
3311321023222,33.7334762,-4.0319824,-0.676,0.384,POINT (-4.0319824 33.7334762),17.0,MA004009
3313011022032,31.4380367,-6.9763184,-0.085,0.409,POINT (-6.9763184 31.4380367),42.0,MA001001
3311233111201,33.054716,-5.7678223,-0.918,0.431,POINT (-5.7678223 33.054716),49.0,MA001004
3311223323313,31.9987589,-8.8000488,-0.242,0.392,POINT (-8.8000488 31.9987589),9.0,MA006007
3311300222102,35.576916,-5.526123,-0.146,0.511,POINT (-5.526123 35.576916),57.0,MA010008
3311223300330,32.4263397,-8.9978027,-0.134,0.477,POINT (-8.9978027 32.4263397),8.0,MA006006
3311213103332,35.1827876,-6.0095215,-0.675,0.508,POINT (-6.0095215 35.1827876),35.0,MA010004
3311213311102,34.85889,-5.7019043,-0.396,0.45,POINT (-5.7019043 34.85889),18.0,MA010007
3311232000121,33.0915411,-8.3166504,-0.234,0.458,POINT (-8.3166504 33.0915411),67.0,MA002002
3311232300200,32.4634255,-7.7233887,-0.189,0.431,POINT (-7.7233887 32.4634255),1.0,MA006008
3311231013322,34.0253472,-6.4050293,-0.233,0.497,POINT (-6.4050293 34.0253472),0.0,MA008005
3311320320101,33.4222718,-4.8010254,0.01,0.476,POINT (-4.8010254 33.4222718),45.0,MA004005
3311233001231,33.0178755,-6.7785645,-0.432,0.416,POINT (-6.7785645 33.0178755),26.0,MA001005
3311302003013,35.2904681,-5.3723145,-0.544,0.43,POINT (-5.3723145 35.2904681),57.0,MA010008
3311233300300,32.4634255,-6.229248,-0.707,0.483,POINT (-6.229248 32.4634255),43.0,MA001002
3311323002031,32.9441484,-4.1418457,-0.583,0.384,POINT (-4.1418457 32.9441484),45.0,MA004005
3311233310233,32.4077911,-5.8996582,-0.434,0.391,POINT (-5.8996582 32.4077911),43.0,MA001002
3311302300011,34.876918,-4.8449707,-0.837,0.466,POINT (-4.8449707 34.876918),12.0,MA010002
3313010021303,31.5504522,-8.1408691,0.107,0.488,POINT (-8.1408691 31.5504522),38.0,MA006004
3311231222100,33.2754349,-6.932373,-0.372,0.427,POINT (-6.932373 33.2754349),21.0,MA002007
3313010122330,31.3817783,-7.5915527,-0.052,0.456,POINT (-7.5915527 31.3817783),33.0,MA006001
3311231332031,33.238687,-5.8996582,-0.889,0.453,POINT (-5.8996582 33.238687),49.0,MA001004
3313100303223,31.0623449,-4.7131348,-0.787,0.383,POINT (-4.7131348 31.0623449),55.0,MA003004
3313003213220,29.8692284,-9.3054199,-0.338,0.448,POINT (-9.3054199 29.8692284),15.0,MA009002
3311232233022,32.0360196,-7.8991699,-0.655,0.446,POINT (-7.8991699 32.0360196),1.0,MA006008
3311233200311,32.4634255,-6.8664551,-0.132,0.503,POINT (-6.8664551 32.4634255),46.0,MA001003
3311232103321,32.8703597,-7.4377441,-0.338,0.451,POINT (-7.4377441 32.8703597),14.0,MA002009
3311223121233,32.7041107,-8.8879395,0.069,0.465,POINT (-8.8879395 32.7041107),67.0,MA002002
3313013111120,30.7040578,-5.7019043,-1.122,0.435,POINT (-5.7019043 30.7040578),58.0,MA003005
3313003213121,29.9454149,-9.1955566,-0.756,0.442,POINT (-9.1955566 29.9454149),15.0,MA009002
3311321101202,34.2072589,-3.3288574,-0.43,0.442,POINT (-3.3288574 34.2072589),47.0,MA007005
3311231232331,33.1651449,-6.5148926,-0.31,0.415,POINT (-6.5148926 33.1651449),26.0,MA001005
3311223331111,32.2406821,-8.4484863,-0.097,0.493,POINT (-8.4484863 32.2406821),9.0,MA006007
3311233033221,32.5745912,-6.4709473,-0.611,0.527,POINT (-6.4709473 32.5745912),43.0,MA001002
3311320230323,33.2938031,-5.1525879,-0.199,0.443,POINT (-5.1525879 33.2938031),56.0,MA004004
